pathway,n_psc_genes_in_pathway,n_pathway_genes,psc_ensg_genes
Butyrophilin (BTN) family interactions,1,6,ENSG00000112763
Expression and translocation of olfactory receptors,1,6,ENSG00000112462
RNA Polymerase I Transcription Termination,1,14,ENSG00000066379
RNA Polymerase I Promoter Escape,1,16,ENSG00000066379
B-WICH complex positively regulates rRNA expression,1,17,ENSG00000066379
NoRC negatively regulates rRNA expression,1,20,ENSG00000066379
RNA Polymerase I Transcription Initiation,1,22,ENSG00000066379
Interferon gamma signaling,1,27,ENSG00000112343
